S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent,
1,New South Wales,10050,Albury,5620,20.0170965,5352,18.17873034,10972,19.07609924,
1,New South Wales,10180,Armidale,2607,18.1356522,2550,16.75537158,5157,17.42582956,
1,New South Wales,10250,Ballina,4041,17.5795015,3628,14.93495801,7669,16.22073225,
1,New South Wales,10300,Balranald,210,18.0567498,210,20.21174206,420,19.07356948,
1,New South Wales,10470,Bathurst,4362,19.2684866,4032,18.34895786,8394,18.81556532,
1,New South Wales,10500,Bayside (NSW),13679,14.8491099,13020,14.32863416,26699,14.59065398,
1,New South Wales,10550,Bega Valley,2938,16.2995839,2665,14.59953983,5603,15.44419637,
1,New South Wales,10600,Bellingen,1108,17.1331375,1061,15.68598462,2169,16.39331872,
1,New South Wales,10650,Berrigan,662,15.225391,668,15.55296857,1330,15.3881754,
1,New South Wales,10750,Blacktown,48828,22.8620123,46897,22.05620223,95725,22.46000723,
1,New South Wales,10800,Bland,552,19.9782845,546,20.21473528,1098,20.09516837,
1,New South Wales,10850,Blayney,817,21.3762428,777,20.32967033,1594,20.85295657,
1,New South Wales,10900,Blue Mountains,6901,18.047492,6615,16.45194986,13516,17.22968666,
1,New South Wales,10950,Bogan,249,20.3099511,247,20.68676717,496,20.49586777,
1,New South Wales,11150,Bourke,289,24.7855918,253,21.10091743,542,22.91754757,
1,New South Wales,11200,Brewarrina,155,21.4979196,127,18.4057971,282,19.98582566,
1,New South Wales,11250,Broken Hill,1578,18.2259182,1529,17.05331251,3107,17.62936904,
1,New South Wales,11300,Burwood,2328,11.0551809,2356,10.98880597,4684,11.02169514,
1,New South Wales,11350,Byron,2986,16.6462259,2981,15.53575151,5967,16.07229435,
1,New South Wales,11400,Cabonne,1484,21.1939446,1296,18.84268683,2780,20.02881844,
1,New South Wales,11450,Camden,17430,26.186899,16629,24.36447818,34059,25.26425885,
1,New South Wales,11500,Campbelltown (NSW),20761,22.7400681,19938,21.32702943,40699,22.02517534,
1,New South Wales,11520,Canada Bay,6932,15.5813797,6752,14.39781644,13684,14.97401105,
1,New South Wales,11570,Canterbury-Bankstown,37460,19.5683062,35357,18.76728398,72817,19.17099537,
1,New South Wales,11600,Carrathool,272,18.328841,312,24.3559719,584,21.12115732,
1,New South Wales,11650,Central Coast (NSW),32765,19.1227968,30423,16.84607462,63188,17.95450283,
1,New South Wales,11700,Central Darling,161,17.96875,152,17.65389082,313,17.81445646,
1,New South Wales,11720,Cessnock,7163,20.8160181,6555,19.75587703,13718,20.29560149,
1,New South Wales,11730,Clarence Valley,4665,16.640508,4391,16.09073253,9056,16.36932198,
1,New South Wales,11750,Cobar,451,21.7140106,465,23.23838081,916,22.46199117,
1,New South Wales,11800,Coffs Harbour,7418,18.8733971,7176,17.42381935,14594,18.13167017,
1,New South Wales,12000,Coolamon,493,21.3790113,448,19.97325011,941,20.68586503,
1,New South Wales,12150,Coonamble,497,25.4350051,401,21.02779234,898,23.25822326,
1,New South Wales,12160,Cootamundra-Gundagai,1054,18.2574052,914,16.17412847,1968,17.22689076,
1,New South Wales,12350,Cowra,1085,17.1162644,1042,16.48734177,2127,16.80227506,
1,New South Wales,12380,Cumberland,24399,19.1057515,22817,19.39924161,47216,19.24646283,
1,New South Wales,12390,Dubbo,6030,21.2615916,5827,20.66531901,11857,20.96431981,
1,New South Wales,12700,Dungog,912,18.4242424,859,17.83267594,1771,18.13248695,
1,New South Wales,12730,Edward River,807,19.1232227,670,15.91448931,1477,17.52075919,
1,New South Wales,12750,Eurobodalla,3006,14.8620587,2751,13.29884946,5757,14.07166601,
1,New South Wales,12850,Fairfield,18620,17.902469,17458,16.5112452,36078,17.20113282,
1,New South Wales,12870,Federation,1053,16.180086,981,15.25423729,2034,15.71991653,
1,New South Wales,12900,Forbes,940,20.2892294,979,20.97707307,1919,20.6344086,
1,New South Wales,12930,Georges River,12320,15.7241133,11512,14.44416562,23832,15.07867714,
1,New South Wales,12950,Gilgandra,446,20.6577119,424,19.72093023,870,20.19029937,
1,New South Wales,13010,Glen Innes Severn,707,15.8591297,701,15.47119841,1408,15.66358883,
1,New South Wales,13310,Goulburn Mulwaree,3011,18.0743142,2823,17.58768924,5834,17.8355243,
1,New South Wales,13340,Greater Hume,1203,20.5570745,1109,19.82835687,2312,20.20096112,
1,New South Wales,13450,Griffith,2745,19.9302984,2541,19.0208848,5286,19.48252985,
1,New South Wales,13550,Gunnedah,1602,24.0107914,1409,21.32263923,3011,22.67319277,
1,New South Wales,13660,Gwydir,450,18.3299389,431,17.34406439,881,17.8340081,
1,New South Wales,13800,Hawkesbury,6673,19.5408357,6254,18.3903314,12927,18.96678209,
1,New South Wales,13850,Hay,224,15.7192982,240,17.08185053,464,16.39575972,
1,New South Wales,13910,Hilltops,1950,20.4445376,1794,18.46248842,3744,19.44430018,
1,New South Wales,14000,Hornsby,14813,19.5324244,13783,17.61765984,28596,18.56015369,
1,New South Wales,14100,Hunters Hill,1260,18.0489901,1080,15.30829199,2340,16.67141636,
1,New South Wales,14170,Inner West,13262,14.3421038,12726,13.27616425,25988,13.79954865,
1,New South Wales,14220,Inverell,1796,20.0200647,1774,19.52024648,3570,19.76853646,
1,New South Wales,14300,Junee,530,14.2243693,517,18.50393701,1047,16.05828221,
1,New South Wales,14350,Kempsey,2737,17.0955653,2632,17.0433206,5369,17.06991384,
1,New South Wales,14400,Kiama,1949,17.2983048,1780,15.16829996,3729,16.21163377,
1,New South Wales,14500,Ku-ring-gai,12093,19.648718,11596,17.72086129,23689,18.65525307,
1,New South Wales,14550,Kyogle,784,16.5715494,762,16.08613046,1546,16.3286861,
1,New South Wales,14600,Lachlan,686,22.136173,673,22.08005249,1359,22.10834553,
1,New South Wales,14650,Lake Macquarie,20600,19.0617193,19472,17.51409889,40072,18.27693627,
1,New South Wales,14700,Lane Cove,3698,18.1185693,3412,16.14078244,7110,17.11232521,
1,New South Wales,14750,Leeton,1204,21.2608158,1239,21.48058252,2443,21.37170851,
1,New South Wales,14850,Lismore,3949,18.1180033,3701,16.73827507,7650,17.42318992,
1,New South Wales,14870,Lithgow,1680,15.9954299,1654,16.18236963,3334,16.08762787,
1,New South Wales,14900,Liverpool,27666,22.3574476,25981,20.96459234,53647,21.6605026,
1,New South Wales,14920,Liverpool Plains,695,17.8296562,598,15.86627753,1293,16.86448415,
1,New South Wales,14950,Lockhart,349,20.4572098,336,19.8816568,685,20.17078916,
1,New South Wales,15050,Maitland,10596,22.4844035,10005,20.48903361,20601,21.46899132,
1,New South Wales,15240,Mid-Coast,7398,15.3533257,7065,14.20843054,14463,14.77188001,
1,New South Wales,15270,Mid-Western,2770,21.0582332,2499,19.57390146,5269,20.32714787,
1,New South Wales,15300,Moree Plains,1431,21.9917012,1273,19.99685831,2704,21.00520469,
1,New South Wales,15350,Mosman,2250,16.6963491,2284,14.64571978,4534,15.59629872,
1,New South Wales,15520,Murray River,1164,17.4512744,1125,16.90204327,2289,17.17694732,
1,New South Wales,15560,Murrumbidgee,349,18.4558435,281,16.37529138,630,17.46603826,
1,New South Wales,15650,Muswellbrook,1891,21.7381308,1617,20.01485332,3508,20.90833234,
1,New South Wales,15700,Nambucca Valley,1678,16.4671246,1598,15.09826153,3276,15.76971214,
1,New South Wales,15750,Narrabri,1361,20.7374676,1233,19.91600711,2594,20.33871727,
1,New South Wales,15800,Narrandera,621,21.7894737,554,19.49331457,1175,20.64300773,
1,New South Wales,15850,Narromine,725,22.2120098,661,20.79270211,1386,21.51171814,
1,New South Wales,15900,Newcastle,14346,16.5406078,13448,15.35826043,27794,15.94661893,
1,New South Wales,15950,North Sydney,4460,13.0699801,4252,11.2219583,8712,12.09764768,
1,New South Wales,15990,Northern Beaches,24428,18.5313306,23038,16.927135,47466,17.71641641,
1,New South Wales,16100,Oberon,489,16.6553134,486,18.24324324,975,17.41071429,
1,New South Wales,16150,Orange,4930,22.7608495,4400,19.4828197,9330,21.0876051,
1,New South Wales,16200,Parkes,1477,20.5509949,1427,20.1867308,2904,20.37037037,
1,New South Wales,16260,Parramatta,23954,17.6425531,22696,17.01719264,46650,17.33266455,
1,New South Wales,16350,Penrith,24049,21.5063091,22717,20.1642109,46766,20.83275794,
1,New South Wales,16380,Port Macquarie-Hastings,7395,16.982432,6957,15.1071638,14352,16.01857226,
1,New South Wales,16400,Port Stephens,6708,17.3669903,6334,16.18996498,13042,16.77470803,
1,New South Wales,16490,Queanbeyan-Palerang,6758,20.3217561,6303,19.62695398,13061,19.98041885,
1,New South Wales,16550,Randwick,10359,14.8435261,9986,13.85943485,20345,14.34362662,
1,New South Wales,16610,Richmond Valley,2258,19.1453281,2085,17.50482747,4343,18.32102932,
1,New South Wales,16700,Ryde,10728,16.0217446,9982,14.51779455,20710,15.25980724,
1,New South Wales,16900,Shellharbour,8066,20.5346232,7376,18.23125216,15442,19.3659234,
1,New South Wales,16950,Shoalhaven,9038,16.456065,8551,15.55490877,17589,16.00527777,
1,New South Wales,17000,Singleton,2677,20.3496769,2529,20.76866223,5206,20.55108164,
1,New South Wales,17040,Snowy Monaro,1890,16.4907076,1648,15.44372599,3538,15.98590277,
1,New South Wales,17080,Snowy Valleys,1339,17.8011167,1375,18.54849589,2714,18.17207901,
1,New South Wales,17100,Strathfield,3409,13.7609494,3259,14.13821526,6668,13.94279023,
1,New South Wales,17150,Sutherland,22178,19.1849551,20643,17.28489132,42821,18.21945377,
1,New South Wales,17200,Sydney,8426,6.93053019,8067,7.36658509,16493,7.137169712,
1,New South Wales,17310,Tamworth,6976,21.5908387,6338,19.2433811,13314,20.40584863,
1,New South Wales,17350,Temora,569,19.1518007,548,17.92020929,1117,18.52711893,
1,New South Wales,17400,Tenterfield,528,15.3577661,531,15.02121641,1059,15.18715044,
1,New South Wales,17420,The Hills,22358,21.6945798,20807,19.83489195,43165,20.75649527,
1,New South Wales,17550,Tweed,8673,18.0319348,8114,15.95077552,16787,16.96221973,
1,New South Wales,17620,Upper Hunter,1369,18.9219074,1259,17.72490497,2628,18.32891617,
1,New South Wales,17640,Upper Lachlan,833,18.6478621,687,16.20665251,1520,17.45922352,
1,New South Wales,17650,Uralla,603,20.7287728,532,16.95347355,1135,18.76963784,
1,New South Wales,17750,Wagga Wagga,7316,21.6667654,6905,19.75679542,14221,20.69532569,
1,New South Wales,17850,Walcha,242,16.187291,269,18.26205024,511,17.21698113,
1,New South Wales,17900,Walgett,554,20.130814,558,20.16624503,1112,20.14857764,
1,New South Wales,17950,Warren,285,21.7060168,242,19.05511811,527,20.4026326,
1,New South Wales,18020,Warrumbungle,804,17.2199614,758,16.62645317,1562,16.92674469,
1,New South Wales,18050,Waverley,5333,15.2484703,5068,13.90779363,10401,14.56437113,
1,New South Wales,18100,Weddin,267,14.4637053,292,16.49717514,559,15.4590708,
1,New South Wales,18200,Wentworth,785,19.3922925,760,20.87912088,1545,20.0962539,
1,New South Wales,18250,Willoughby,7053,18.7077266,6693,16.66044358,13746,17.65159103,
1,New South Wales,18350,Wingecarribee,4536,17.5623354,4333,15.88284887,8869,16.69961777,
1,New South Wales,18400,Wollondilly,6580,22.6912201,6123,21.39562513,12703,22.04769508,
1,New South Wales,18450,Wollongong,19696,18.0622679,18325,16.64456474,38021,17.35001666,
1,New South Wales,18500,Woollahra,3936,15.4044851,3922,13.47349617,7858,14.37614343,
1,New South Wales,18710,Yass Valley,1737,19.9884925,1636,18.61841357,3373,19.29965097,
1,New South Wales,19399,Unincorporated NSW,97,19.5564516,95,18.37524178,192,18.95360316,
2,Victoria,20110,Alpine,1026,15.5761348,929,14.08642911,1955,14.83082992,
2,Victoria,20260,Ararat,929,15.0616083,863,15.64823209,1792,15.33852606,
2,Victoria,20570,Ballarat,11206,19.5929643,10760,17.65584234,21966,18.59366668,
2,Victoria,20660,Banyule,11541,18.2420257,11239,16.94253497,22780,17.57688925,
2,Victoria,20740,Bass Coast,3261,15.6118345,3107,14.22553912,6368,14.90322732,
2,Victoria,20830,Baw Baw,5891,19.9357022,5589,17.97452885,11480,18.93014973,
2,Victoria,20910,Bayside (Vic.),8894,17.8215044,8500,15.63477173,17394,16.6813718,
2,Victoria,21010,Benalla,1057,14.8915187,1020,13.72628179,2077,14.29554684,
2,Victoria,21110,Boroondara,13450,16.0485872,12950,14.27327536,26400,15.12573265,
2,Victoria,21180,Brimbank,16999,17.241764,15787,16.19943768,32786,16.72362609,
2,Victoria,21270,Buloke,458,14.6841937,404,13.83087984,862,14.27152318,
2,Victoria,21370,Campaspe,3284,17.3683097,3185,16.42514569,6469,16.89078044,
2,Victoria,21450,Cardinia,14603,23.1922497,13963,21.8188921,28566,22.5,
2,Victoria,21610,Casey,45021,22.8910639,42974,21.98889656,87995,22.44140675,
2,Victoria,21670,Central Goldfields,993,14.6525011,940,13.82963072,1933,14.2404597,
2,Victoria,21750,Colac Otway,1967,17.5766241,1809,16.32376827,3776,16.9532618,
2,Victoria,21830,Corangamite,1345,16.6852748,1234,15.64599975,2579,16.17130675,
2,Victoria,21890,Darebin,11348,14.9408187,10981,13.77273297,22329,14.34260645,
2,Victoria,22110,East Gippsland,3738,15.4341633,3626,14.52724359,7364,14.97387096,
2,Victoria,22170,Frankston,13462,19.1618983,12924,17.80852119,26386,18.47422738,
2,Victoria,22250,Gannawarra,812,15.6394453,806,15.41698546,1618,15.52783109,
2,Victoria,22310,Glen Eira,13371,17.5440208,12989,16.11078724,26360,16.80725849,
2,Victoria,22410,Glenelg,1544,15.4523619,1552,15.47357926,3096,15.46299071,
2,Victoria,22490,Golden Plains,2942,22.0226065,2647,21.24568585,5589,21.64768766,
2,Victoria,22620,Greater Bendigo,11885,19.6605515,11219,17.60588798,23104,18.60614944,
2,Victoria,22670,Greater Dandenong,14434,17.3298115,13562,16.84678642,27996,17.09240989,
2,Victoria,22750,Greater Geelong,25575,18.5064583,24485,16.93127913,50060,17.70099254,
2,Victoria,22830,Greater Shepparton,6855,19.8793608,6442,18.59055754,13297,19.23338396,
2,Victoria,22910,Hepburn,1167,14.2473446,1122,13.23269253,2289,13.73125375,
2,Victoria,22980,Hindmarsh,403,14.3620813,437,15.87359244,840,15.11063141,
2,Victoria,23110,Hobsons Bay,8803,19.1657051,8315,17.39285042,17118,18.26153748,
2,Victoria,23190,Horsham,1960,19.5335858,1748,17.00223714,3708,18.25252277,
2,Victoria,23270,Hume,30343,23.0069909,28836,22.03273277,59179,22.52173053,
2,Victoria,23350,Indigo,1560,17.9930796,1515,16.84830961,3075,17.41025931,
2,Victoria,23430,Kingston (Vic.),14155,17.7336507,13596,16.20423341,27751,16.94986685,
2,Victoria,23670,Knox,14075,17.6850491,13122,15.96758296,27197,16.81255641,
2,Victoria,23810,Latrobe (Vic.),7188,18.746577,6742,16.93501796,13930,17.82378381,
2,Victoria,23940,Loddon,620,15.5778894,557,14.7863021,1177,15.19297793,
2,Victoria,24130,Macedon Ranges,5349,20.4903275,5142,19.17583442,10491,19.82426304,
2,Victoria,24210,Manningham,10670,16.9720685,10300,15.45479099,20970,16.19129978,
2,Victoria,24250,Mansfield,872,16.9748881,882,16.30615641,1754,16.63189835,
2,Victoria,24330,Maribyrnong,7131,15.3523219,6517,14.38218613,13648,14.87325908,
2,Victoria,24410,Maroondah,10829,18.98459,10317,17.08310566,21146,18.00671015,
2,Victoria,24600,Melbourne,5027,5.66499132,4948,5.580996639,9975,5.62301292,
2,Victoria,24650,Melton,25407,24.6096474,24741,24.06009919,50148,24.33542,
2,Victoria,24700,Merri-bek,13705,15.4184526,13230,14.32810605,26935,14.86290372,
2,Victoria,24780,Mildura,5388,18.8999579,5150,17.73049645,10538,18.30976127,
2,Victoria,24850,Mitchell,5964,21.9095551,5520,20.82861671,11484,21.37631927,
2,Victoria,24900,Moira,2596,16.8004142,2433,15.87809176,5029,16.34118603,
2,Victoria,24970,Monash,15831,15.4891544,14546,14.35181988,30377,14.92287286,
2,Victoria,25060,Moonee Valley,10000,16.2477456,9592,14.77078489,19592,15.48946128,
2,Victoria,25150,Moorabool,3973,20.4488136,3761,19.12729492,7734,19.78409905,
2,Victoria,25340,Mornington Peninsula,13931,16.8928177,13137,14.96650565,27068,15.89962583,
2,Victoria,25430,Mount Alexander,1478,14.3175433,1420,13.84960499,2898,14.08437014,
2,Victoria,25490,Moyne,1663,19.075476,1632,18.35357625,3295,18.71095968,
2,Victoria,25620,Murrindindi,1226,15.1339341,1002,13.57539629,2228,14.39090557,
2,Victoria,25710,Nillumbik,5913,18.8558309,5625,17.63046544,11538,18.23786039,
2,Victoria,25810,Northern Grampians,900,14.9675703,875,14.91646778,1775,14.94233521,
2,Victoria,25900,Port Phillip,5891,10.9689793,5638,10.10231325,11529,10.52732502,
2,Victoria,25990,Pyrenees,566,13.8963909,581,15.64772421,1147,14.73156948,
2,Victoria,26080,Queenscliffe,130,8.49118223,171,10.01757469,301,9.295861643,
2,Victoria,26170,South Gippsland,2716,17.6857459,2381,15.39506013,5097,16.53635272,
2,Victoria,26260,Southern Grampians,1411,17.4391299,1354,16.15944623,2765,16.78809957,
2,Victoria,26350,Stonnington,6080,11.3904605,5800,10.00741929,11880,10.67049894,
2,Victoria,26430,Strathbogie,806,13.9688042,768,13.2231405,1574,13.59474866,
2,Victoria,26490,Surf Coast,3962,20.2608029,3676,18.62491767,7638,19.43907157,
2,Victoria,26610,Swan Hill,2031,18.9547364,1960,18.67200152,3991,18.8148218,
2,Victoria,26670,Towong,508,15.9048215,460,15.08691374,968,15.50536601,
2,Victoria,26700,Wangaratta,2631,18.1023806,2585,16.71192139,5216,17.38550763,
2,Victoria,26730,Warrnambool,3214,18.4373566,2967,16.05953992,6181,17.21391372,
2,Victoria,26810,Wellington,4010,17.1587505,3810,16.74430869,7820,16.95429711,
2,Victoria,26890,West Wimmera,328,16.3836164,347,17.96996375,675,17.1624714,
2,Victoria,26980,Whitehorse,13942,15.9663769,13323,14.58967564,27265,15.26262462,
2,Victoria,27070,Whittlesea,26499,21.6654403,24759,20.17535997,51258,20.91915651,
2,Victoria,27170,Wodonga,4371,20.2015067,4406,19.46199037,8777,19.82338061,
2,Victoria,27260,Wyndham,42191,25.6241915,40092,25.14645559,82283,25.38917019,
2,Victoria,27350,Yarra,4900,10.2215362,4927,9.951524944,9827,10.08435268,
2,Victoria,27450,Yarra Ranges,15526,19.740121,14194,17.73319008,29720,18.72786621,
2,Victoria,27630,Yarriambiack,548,16.7892157,425,13.6,973,15.22930036,
2,Victoria,29399,Unincorporated Vic,21,4.23387097,57,12.4726477,78,8.184679958,
3,Queensland,30250,Aurukun,126,23.7735849,156,25,282,24.43674177,
3,Queensland,30300,Balonne,451,20.3611738,436,20.46948357,887,20.41426928,
3,Queensland,30370,Banana,1645,21.3969823,1547,21.39399806,3192,21.39553589,
3,Queensland,30410,Barcaldine,288,19.9170124,269,18.57734807,557,19.24671735,
3,Queensland,30450,Barcoo,29,18.125,26,16.56050955,55,17.35015773,
3,Queensland,30760,Blackall Tambo,177,17.9149798,180,18.65284974,357,18.27956989,
3,Queensland,30900,Boulia,44,19.1304348,71,28.62903226,115,24.05857741,
3,Queensland,31000,Brisbane,114105,17.3765194,108367,16.25911478,222472,16.81366303,
3,Queensland,31750,Bulloo,33,17.0103093,41,26.97368421,74,21.38728324,
3,Queensland,31820,Bundaberg,8652,16.8654971,8143,15.40309462,16795,16.12330319,
3,Queensland,31900,Burdekin,1483,17.045977,1343,16.14182692,2826,16.6039953,
3,Queensland,31950,Burke,30,11.5384615,26,14.60674157,56,12.78538813,
3,Queensland,32080,Cairns,16497,18.996131,15949,18.01047948,32446,18.49850055,
3,Queensland,32250,Carpentaria,251,21.5635739,244,23.28244275,495,22.37793852,
3,Queensland,32260,Cassowary Coast,2718,17.7103017,2502,17.10769231,5220,17.41625517,
3,Queensland,32270,Central Highlands (Qld),3364,22.2280957,3335,24.09856203,6699,23.12152694,
3,Queensland,32310,Charters Towers,1220,20.2691477,1092,18.21821822,2312,19.24581703,
3,Queensland,32330,Cherbourg,250,39.556962,187,29.58860759,437,34.57278481,
3,Queensland,32450,Cloncurry,396,18.0163785,356,21.53660012,752,19.52739548,
3,Queensland,32500,Cook,423,16.7127618,433,19.41704036,856,17.97941609,
3,Queensland,32600,Croydon,23,16.7883212,31,23.30827068,54,20,
3,Queensland,32750,Diamantina,22,13.75,12,10.71428571,34,12.5,
3,Queensland,32770,Doomadgee,245,32.7102804,223,31.32022472,468,32.03285421,
3,Queensland,32810,Douglas,952,14.5900383,945,14.99286054,1897,14.78796383,
3,Queensland,33100,Etheridge,63,16.7553191,60,17.14285714,123,16.94214876,
3,Queensland,33200,Flinders (Qld),162,21.3438735,140,17.8343949,302,19.55958549,
3,Queensland,33220,Fraser Coast,8957,15.4925192,8508,14.15051975,17465,14.80837714,
3,Queensland,33360,Gladstone,7281,21.5026136,6916,20.97410081,14197,21.24186429,
3,Queensland,33430,Gold Coast,58538,17.9934774,55501,16.28751196,114039,17.12073648,
3,Queensland,33610,Goondiwindi,1145,21.838642,1101,21.13649453,2246,21.48871029,
3,Queensland,33620,Gympie,4819,17.3071398,4502,15.89577007,9321,16.5954492,
3,Queensland,33800,Hinchinbrook,832,14.7100424,813,14.88465763,1645,14.79582659,
3,Queensland,33830,Hope Vale,167,31.509434,132,26.61290323,299,29.14230019,
3,Queensland,33960,Ipswich,30025,24.0031018,27783,22.039505,57808,23.01750362,
3,Queensland,33980,Isaac,2604,20.0740056,2297,22.8511739,4901,21.28648367,
3,Queensland,34420,Kowanyama,163,28.4965035,135,23.47826087,298,25.98081953,
3,Queensland,34530,Livingstone,4048,18.7973067,3567,17.51018605,7615,18.1716222,
3,Queensland,34570,Lockhart River,118,33.3333333,74,23.19749216,192,28.52897474,
3,Queensland,34580,Lockyer Valley,4356,19.929542,3783,17.20327422,8139,18.56227336,
3,Queensland,34590,Logan,43186,23.0454388,41283,21.68475349,84469,22.35972396,
3,Queensland,34710,Longreach,389,21.0043197,329,17.4535809,718,19.21327268,
3,Queensland,34770,Mackay,12888,20.1403322,12284,19.52444529,25172,19.83499728,
3,Queensland,34800,McKinlay,76,16.5938865,78,19.9488491,154,18.13898704,
3,Queensland,34830,Mapoon,59,26.5765766,75,30.86419753,134,28.8172043,
3,Queensland,34860,Maranoa,1448,21.7254314,1356,20.57663126,2804,21.1542814,
3,Queensland,34880,Mareeba,2084,16.646697,1906,17.04372709,3990,16.83402245,
3,Queensland,35010,Moreton Bay,50842,20.2681316,47796,18.43576065,98638,19.33684111,
3,Queensland,35250,Mornington,120,23.6686391,135,23.6013986,255,23.63299351,
3,Queensland,35300,Mount Isa,2381,24.370522,2095,22.83378747,4476,23.62628662,
3,Queensland,35600,Murweh,347,18.2727751,359,17.36816642,706,17.80131114,
3,Queensland,35670,Napranum,122,26.5795207,130,27.95698925,252,27.27272727,
3,Queensland,35740,Noosa,4417,15.5654227,4089,13.63454485,8506,14.57330341,
3,Queensland,35760,North Burnett,807,15.2063313,747,14.80673935,1554,15.01159196,
3,Queensland,35780,Northern Peninsula Area,511,35.3144437,474,32.44353183,985,33.87207703,
3,Queensland,35790,Palm Island,300,27.9329609,376,32.98245614,676,30.532972,
3,Queensland,35800,Paroo,180,20.2020202,189,22.6618705,369,21.39130435,
3,Queensland,36070,Pormpuraaw,75,23.1481481,58,18.125,133,20.65217391,
3,Queensland,36150,Quilpie,88,25.9587021,81,21.89189189,169,23.83638928,
3,Queensland,36250,Redland,15201,18.5463996,14184,16.71714969,29385,17.61595597,
3,Queensland,36300,Richmond,77,19.0594059,98,25.99469496,175,22.40717029,
3,Queensland,36370,Rockhampton,8627,20.6951974,8482,19.80341342,17109,20.24326467,
3,Queensland,36510,Scenic Rim,3992,17.6989581,3795,16.72321861,7787,17.20960042,
3,Queensland,36580,Somerset,2434,18.1818182,2314,17.98818408,4748,18.08693002,
3,Queensland,36630,South Burnett,2909,16.9640774,2757,16.08330417,5666,16.52376786,
3,Queensland,36660,Southern Downs,3215,17.4047207,3076,16.21336707,6291,16.80108963,
3,Queensland,36720,Sunshine Coast,32505,18.3894455,30970,16.37039269,63475,17.34564494,
3,Queensland,36820,Tablelands,2375,17.6579926,2235,16.18509668,4610,16.91184563,
